acciaio|steel|acier|stahl|acero
terra|earth|terre|erde|tierra
colonna|column|colonne|spalte|columna
seguire|follow|suivre|folgen|seguir
lettera|letter|lettre|brief|carta
mesi|months|mois|monate|meses
sillabare|spell|&#233;peler|fluch|deletrear
nave|ship|bateau|schiff|barco
nero|black|noir|schwarz|negro
paese|country|pays|land|pa&#237;s
rotto|broken|cass&#233;|gebrochen|roto
periodo|period|p&#233;riode|zeitraum|per&#237;odo
coperto|covered|couvert|bedeckt|cubierto
chiamata|call|appel|anruf|llamar
aggiunta|addition|ajout|zusatz|suma
sotto|below|ci-dessous|unten|abajo
ovest|west|ouest|westen|oeste
magro|thin|mince|d&#252;nn|delgado
potevo|could|pourrait|k&#246;nnte|podr&#237;a
sterline|pounds|livres|pfund|libras
volevo|would|serait|w&#252;rde|quer&#237;a
scelto|picked|choisi|gepfl&#252;ckt|escogido
quale|which|lequel|welche|cual
trasportare|carry|porter|tragen|llevar
flusso|stream|flux|strom|arroyo
grafico|chart|graphique|diagramm|cuadro
spiegare|explain|expliquer|erkl&#228;ren|explicar
morbido|soft|doux|weich|suave
modifica|change|changement|&#228;ndern|cambiar
ordine|order|commande|befehl|orden
completare|complete|complet|vollst&#228;ndig|completo
viso|face|affronter|gesicht|rostro
calcolo|stone|pierre|stein|piedra
simboli|symbols|symboles|symbole|s&#237;mbolos
andato|gone|disparu|gegangen|desaparecido
contenere|contain|contenir|enthalten|contener
leggero|light|lumi&#232;re|licht|luz
angolo|corner|coin|ecke|esquina
pescare|fish|poisson|fisch|pez
cura|care|soins|pflege|cuidado
viaggio|travel|voyage|reisen|viajar
molecole|molecules|mol&#233;cules|molek&#252;le|mol&#233;culas
combattimento|fight|lutte|k&#228;mpfen|luchar
testa|head|t&#234;te|kopf|cabeza
linea|line|doubler|linie|l&#237;nea
britannico|british|britannique|britisch|brit&#225;nico
sette|seven|sept|sieben|siete
nuotare|swim|nager|schwimmen|nadar
indiano|indian|indien|indisch|indio
elementi|elements|&#233;l&#233;ments|elemente|elementos
tranquillo|quiet|calme|ruhig|tranquilo
nuvola|cloud|nuage|wolke|nube
sbagliato|wrong|faux|falsch|equivocado
aprire|open|ouvrir|offen|abierto
soggetto|subject|sujet|thema|sujeto
tre|three|trois|drei|tres
finito|finished|fini|fertig|finalizado
lingua|language|langue|sprache|idioma
partire|leave|partir|verlassen|dejar
citt&#224;|city|ville|stadt|ciudad
giallo|yellow|jaune|gelb|amarillo
significare|mean|signifier|bedeuten|significar
dietro|behind|derri&#232;re|hinter|detr&#225;s
prossimo|next|suivant|n&#228;chste|pr&#243;ximo
continua|continued|suite|fortsetzung|continuado
membri|members|membres|mitglieder|miembros
rottura|break|casser|brechen|romper
strano|strange|&#233;trange|seltsam|extra&#241;o
modulo|form|formulaire|bilden|forma
corpo|body|corps|k&#246;rper|cuerpo
settimana|week|semaine|woche|semana
tempo|time|temps|zeit|tiempo
bordo|edge|bord|rand|borde
composto|compound|compos&#233;|verbindung|compuesto
salva|save|sauvegarder|speichern|ahorrar
melodia|melody|m&#233;lodie|melodie|melod&#237;a
vocale|vowel|voyelle|vokal|vocal
esprimere|express|exprimer|&#228;u&#223;ern|expresar
otto|eight|huit|acht|ocho
senso|sense|sens|sinn|sentido
anche|also|aussi|auch|tambi&#233;n
radice|root|racine|wurzel|ra&#237;z
persone|people|personnes|menschen|gente
sempre|always|toujours|stets|siempre
esempio|example|exemple|beispiel|ejemplo
raggiunto|reached|atteint|erreicht|alcanz&#243;
giapponese|japanese|japonais|japanisch|japon&#233;s
presto|early|t&#244;t|fr&#252;h|temprano
considerare|consider|consid&#233;rer|halten|considerar
traccia|track|piste|schiene|pista
pianure|plains|plaines|ebenen|llanuras
insieme|together|ensemble|zusammen|juntos
gocciolare|drop|baisse|fallen|gota
oggetto|object|objet|objekt|objeto
sorella|sister|s&#339;ur|schwester|hermana
cellule|cells|cellules|zellen|c&#233;lulas
secondo|second|deuxi&#232;me|zweite|segundo
capire|understand|comprendre|verstehen|entender
essi|they|ils|sie|ellos
esperienza|experience|exp&#233;rience|erfahrung|experiencia
pianse|cried|pleur&#233;|weinte|llor&#243;
mondo|world|monde|welt|mundo
venire|come|viens|kommen|venir
vero|true|vrai|wahr|verdadero
piante|plants|plantes|pflanzen|plantas
metodo|method|m&#233;thode|verfahren|m&#233;todo
fabbriche|factories|usines|fabriken|f&#225;bricas
voce|voice|voix|stimme|voz
onde|waves|flots|wellen|ondas
fuoco|fire|feu|feuer|fuego
prodotti|products|produits|produkte|productos
raccontare|tell|dire|erz&#228;hlen|decir
morto|dead|mort|tot|muerto
parete|wall|mur|wand|muro
propriet&#224;|property|propri&#233;t&#233;|eigentum|propiedad
apparire|appear|appara&#238;tre|erscheinen|aparecer
paragrafo|paragraph|paragraphe|absatz|p&#225;rrafo
montagna|mountain|montagne|berg|monta&#241;a
leggere|read|lire|lesen|leer
determinare|determine|d&#233;terminer|bestimmen|determinar
suggerito|suggested|sugg&#233;r&#233;|empfohlen|sugerido
folla|crowd|foule|menge|multitud
cuore|heart|c&#339;ur|herz|coraz&#243;n
naso|nose|nez|nase|nariz
produrre|produce|produire|produzieren|producir
portato|brought|apport&#233;|gebracht|trajo
zucchero|sugar|sucre|zucker|az&#250;car
scrivere|write|&#233;crire|schreiben|escribir
preso|caught|attrap&#233;|erwischt|atrap&#243;
arrotolato|rolled|roul&#233;|gerollt|arrollado
dopo|after|apr&#232;s|nach|despu&#233;s
giovane|young|jeune|jung|joven
fare|make|faire|machen|hacer
estate|summer|&#233;t&#233;|sommer|verano
re|king|roi|k&#246;nig|rey
trovare|find|trouver|finden|encontrar
incontrare|meet|rencontrer|treffen|encontrarse
incontro|match|correspondre|&#252;bereinstimmen|f&#243;sforo
finestra|window|fen&#234;tre|fenster|ventana
trovato|found|trouv&#233;|gefunden|encontr&#243;
passato|passed|pass&#233;|bestanden|aprobado
bruciante|burning|br&#251;lant|verbrennung|incendio
energia|energy|&#233;nergie|energie|energ&#237;a
fornire|provide|fournir|bieten|proporcionar
bello|pretty|joli|h&#252;bsch|bonito
scienziati|scientists|scientifiques|wissenschaftler|cient&#237;ficos
velocit&#224;|speed|vitesse|geschwindigkeit|velocidad
vestiti|clothes|v&#234;tements|kleidung|ropa
stato|state|&#233;tat|zustand|estado
opposto|opposite|oppos&#233;|gegenteil|opuesto
poesia|poem|po&#232;me|gedicht|poema
studenti|students|&#233;tudiants|studenten|estudiantes
disse|said|dit|sagte|dicho
sapevo|knew|savait|wusste|sab&#237;a
forza|force|forcer|gewalt|fuerza
abbastanza|enough|assez|genug|suficiente
scritto|written|&#233;crit|geschrieben|escrito
tranne|except|sauf|au&#223;er|excepto
secolo|century|si&#232;cle|jahrhundert|siglo
descrivere|describe|d&#233;crire|beschreiben|describir
scalato|climbed|grimp&#233;|geklettert|subi&#243;
corda|rope|corde|seil|soga
lunghezza|length|longueur|l&#228;nge|longitud
ucciso|killed|tu&#233;|get&#246;tet|delicado
musica|music|musique|musik|m&#250;sica
tenuto|held|d&#233;tenu|gehalten|sostuvo
povero|poor|pauvre|arm|pobre
controllo|check|v&#233;rifier|&#252;berpr&#252;fen|controlar
sottolineare|underline|souligner|unterstreichen|subrayar
copia|copy|copie|kopie|copiar
sollevato|lifted|lev&#233;|aufgehoben|levantado
pavimento|floor|sol|boden|piso
soldi|money|argent|geld|dinero
blu|blue|bleu|blau|azul
lavare|wash|laver|waschen|lavar
pensare|think|pense|denken|pensar
scoperto|discovered|d&#233;couvert|entdeckt|descubierto
insegnante|teacher|professeur|lehrer|maestro
aumento|increase|augmenter|zunahme|aumentar
ragazza|girl|fille|m&#228;dchen|chica
preparato|prepared|pr&#233;par&#233;|vorbereitet|preparado
rapporto|report|rapport|bericht|informe
buio|dark|sombre|dunkel|oscuro
giocare|play|jouer|spielen|jugar
francese|french|fran&#231;ais|franz&#246;sisch|franc&#233;s
ricordare|remember|souviens-toi|erinnern|recordar
anno|year|ann&#233;e|jahr|a&#241;o
luminoso|bright|brillant|hell|brillante
bianco|white|blanc|wei&#223;|blanco
treno|train|former|zug|tren
inviato|sent|envoy&#233;|gesendet|enviado
ogni|each|chaque|jede|cada
terzo|third|troisi&#232;me|dritte|tercero
ferro|iron|fer|eisen|hierro
aspettarsi|expect|attendre|erwarten|esperar
servire|serve|servir|aufschlag|atender
centesimi|cents|centimes|cent|centavos
pratica|practice|pratique|&#252;ben|pr&#225;ctica
collina|hill|colline|h&#252;gel|colina
partecipato|joined|rejoint|verbunden|unido
rimanere|remain|rester|bleiben|permanecer
questi|these|ces|diese|estos
minuscolo|tiny|minuscule|winzig|diminuto
lentamente|slowly|lentement|langsam|despacio
mostrato|shown|montr&#233;|gezeigt|mostrado
